V1	V2	V3
basioccipital_proc_ant	-42.6749014549344	-1.2123091081354	-8.88178419700125e-16
basipterygoid_proc_lat_R	-35.8441677291202	3.74795902557436	-3.36287243371702
basipterygoid_proc_lat_L	-35.8441677291202	3.74795902557437	3.36287243371702
basipterygoid_proc_med_R	-35.4789375388821	1.26502014544991	-0.974237973578255
basipterygoid_proc_med_L	-35.4789375388821	1.26502014544991	0.974237973578253
basipterygoid_proc_post_R	-38.5115657709597	1.01731354851265	-2.3839094460752
basipterygoid_proc_post_L	-38.5115657709597	1.01731354851265	2.3839094460752
cranium_occipital	-63.8969964303668	15.714981872103	-2.66453525910038e-15
foramen_magnum_inf	-57.5315940343756	-0.86326267491032	6.66133814775094e-16
foramen_magnum_sup	-64.3206887930087	5.94702764733576	-5.55111512312578e-16
jugal_tubercle_R	-16.1403733360902	2.40998282088047	-11.7196660303953
jugal_tubercle_L	-16.1403733360902	2.40998282088046	11.7196660303953
jugal_upperbeak_R	-0.751185297743406	3.05709448956786	-9.05058697798549
jugal_upperbeak_L	-0.751185297743392	3.05709448956787	9.05058697798548
mand_condyle_quadrate_lat_R	-41.2405610321018	-7.67535655056738	-15.2796790075477
mand_condyle_quadrate_lat_L	-41.2405610321018	-7.67535655056737	15.2796790075477
mand_condyle_quadrate_med_R	-40.2159409471024	-6.73832659157576	-10.8422379422665
mand_condyle_quadrate_med_L	-40.2159409471024	-6.73832659157576	10.8422379422665
nasalfrontalhinge_cranium_R	-9.31850549655035	18.7485024852379	-7.61297204771091
nasalfrontalhinge_cranium_L	-9.31850549655035	18.7485024852379	7.6129720477109
occipital_condyle	-58.2963037258328	-2.73240487993155	7.7715611723761e-16
opisthotic_process_R	-54.555095222058	-8.28554665638623	-11.3196134551395
opisthotic_process_L	-54.555095222058	-8.28554665638623	11.3196134551395
otic_proc_tubercle_R	-47.9755254514056	2.71398772907181	-12.3332499539888
otic_proc_tubercle_L	-47.9755254514056	2.71398772907182	12.3332499539888
postorbital_process_dist_inf_R	-35.3834911272022	6.32233952940485	-17.5391106710569
postorbital_process_dist_inf_L	-35.3834911272022	6.32233952940485	17.5391106710569
pterygoid_crest_R0001	-29.7062905500279	1.44354141114997	-3.27502388514119
pterygoid_crest_R0002	-30.1589239436753	0.362539937310171	-4.30802624037172
pterygoid_crest_R0003	-31.3551970554436	-0.492521556580163	-4.92198935255723
pterygoid_crest_R0004	-32.773976086484	-1.20723805730123	-5.13719990212726
pterygoid_crest_R0005	-34.2458845407563	-1.63309837850035	-5.59290938316376
pterygoid_crest_R0006	-35.6627668637786	-1.89790203268595	-6.2867825772093
pterygoid_crest_R0007	-36.9572916488042	-2.24537122523888	-7.1428090966626
pterygoid_crest_R0008	-38.0768700916407	-2.74599998319361	-8.13708625579897
pterygoid_crest_R0009	-38.969187144793	-3.45626849282559	-9.21258729541162
pterygoid_crest_R0010	-39.6023867840665	-4.33179400614905	-10.3133511472124
pterygoid_crest_L0001	-29.7062905500279	1.44354141114997	3.27502388514119
pterygoid_crest_L0002	-30.1589239436753	0.362539937310173	4.30802624037172
pterygoid_crest_L0003	-31.3551970554436	-0.492521556580162	4.92198935255723
pterygoid_crest_L0004	-32.773976086484	-1.20723805730122	5.13719990212726
pterygoid_crest_L0005	-34.2458845407563	-1.63309837850035	5.59290938316376
pterygoid_crest_L0006	-35.6627668637786	-1.89790203268595	6.2867825772093
pterygoid_crest_L0007	-36.9572916488042	-2.24537122523887	7.1428090966626
pterygoid_crest_L0008	-38.0768700916407	-2.74599998319361	8.13708625579898
pterygoid_crest_L0009	-38.969187144793	-3.45626849282559	9.21258729541163
pterygoid_crest_L0010	-39.6023867840665	-4.33179400614905	10.3133511472124
pterygoid_palatine_R	-30.7486484710489	0.687049541606395	-2.66904354378963
pterygoid_palatine_L	-30.7486484710489	0.687049541606397	2.66904354378963
quadrate_cranium_lc_R	-50.6382283617345	2.69911366197155	-12.7829928291283
quadrate_cranium_lc_L	-50.6382283617345	2.69911366197156	12.7829928291283
quadrate_jugal_R	-45.9664911245325	-6.23015924489944	-16.2905306398101
quadrate_jugal_L	-45.9664911245325	-6.23015924489943	16.2905306398101
quadrate_pterygoid_R	-40.2965177578168	-4.22560602713101	-9.49914160846314
quadrate_pterygoid_L	-40.2965177578168	-4.22560602713101	9.49914160846314
tomium_R0001	47.1541742564997	-2.36956788659407	-0.108710456672648
tomium_R0002	47.1719621195996	-2.12010728739701	-1.31635924160705
tomium_R0003	47.0018115371567	-1.89713621512019	-2.46179689546476
tomium_R0004	46.598811736796	-1.6650070488914	-3.55210205970182
tomium_R0005	45.9858145382446	-1.42036139659287	-4.54627274275356
tomium_R0006	45.2016136363152	-1.13252196864999	-5.43174305272214
tomium_R0007	44.3026024441616	-0.842891051707158	-6.17475211061039
tomium_R0008	43.1891220533812	-0.682463272708616	-6.65553924508091
tomium_R0009	42.0953810583195	-0.631506912598235	-7.20279542150085
